match_id,home,away,home_id,away_id,gh,ga,xg_home,xg_away,n_shots
12813000,South Africa,Canada,4736,4752,0,1,0.138,1.376,18
12813012,Brazil,Japan,4748,4770,2,1,2.1,0.325,24
12813014,Germany,Paraguay,4711,4789,4,5,6.3,5.084,40
12812998,Netherlands,Morocco,4705,4778,3,4,4.181,5.323,27
12812989,Côte d'Ivoire,Norway,4768,4475,1,2,1.49,1.903,23
12812995,France,Sweden,4481,4688,3,0,3.268,0.697,33
12813001,Mexico,Ecuador,4781,4757,2,0,1.051,0.752,22
12813020,England,DR Congo,4713,4823,2,1,2.158,0.772,23
12813013,Belgium,Senegal,4717,4739,3,2,1.744,4.098,38
12812992,USA,Bosnia & Herzegovina,4724,4479,2,0,0.885,0.254,18
12813004,Spain,Austria,4698,4718,3,0,2.799,0.294,28
